A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
  step 10: action=14 reward=0 samples=22500 elapsed=3.2s
  step 20: action=5 reward=2 samples=45000 elapsed=6.5s
  step 30: action=17 reward=4 samples=67500 elapsed=9.6s
  step 40: action=5 reward=5 samples=90000 elapsed=12.7s
  step 50: action=16 reward=7 samples=112500 elapsed=15.7s
  step 60: action=8 reward=11 samples=135000 elapsed=18.8s
  step 70: action=11 reward=15 samples=157500 elapsed=21.9s
  step 80: action=1 reward=21 samples=180000 elapsed=25.1s
  step 90: action=1 reward=27 samples=202500 elapsed=28.3s
  step 100: action=10 reward=32 samples=225000 elapsed=31.5s
  step 110: action=3 reward=34 samples=247500 elapsed=34.7s
  step 120: action=9 reward=37 samples=270000 elapsed=37.8s
  step 130: action=1 reward=41 samples=292500 elapsed=41.0s
  step 140: action=3 reward=41 samples=315000 elapsed=44.1s
  step 150: action=8 reward=43 samples=337500 elapsed=47.3s
  step 160: action=1 reward=49 samples=360000 elapsed=50.4s
  step 170: action=17 reward=53 samples=382500 elapsed=53.6s
  step 180: action=1 reward=58 samples=405000 elapsed=56.7s
  step 190: action=11 reward=64 samples=427500 elapsed=59.9s
  step 200: action=17 reward=70 samples=450000 elapsed=63.1s
  step 210: action=11 reward=72 samples=472500 elapsed=66.2s
  step 220: action=1 reward=78 samples=495000 elapsed=69.5s
  step 230: action=0 reward=85 samples=517500 elapsed=72.6s
  step 240: action=3 reward=88 samples=540000 elapsed=75.8s
  step 250: action=13 reward=91 samples=562500 elapsed=78.9s
  step 260: action=3 reward=92 samples=585000 elapsed=82.0s
  step 270: action=11 reward=96 samples=607500 elapsed=85.1s
  step 280: action=10 reward=97 samples=630000 elapsed=88.1s
  step 290: action=4 reward=97 samples=652500 elapsed=91.1s
  step 300: action=16 reward=97 samples=675000 elapsed=94.1s
  step 310: action=2 reward=97 samples=697500 elapsed=97.1s
  step 320: action=5 reward=97 samples=720000 elapsed=100.0s
  step 330: action=10 reward=97 samples=742500 elapsed=103.0s
  step 340: action=12 reward=97 samples=765000 elapsed=106.1s
  step 350: action=0 reward=97 samples=787500 elapsed=109.1s
  step 360: action=3 reward=97 samples=810000 elapsed=112.1s
  step 370: action=3 reward=97 samples=832500 elapsed=115.1s
  step 380: action=13 reward=97 samples=855000 elapsed=118.1s
  step 390: action=11 reward=97 samples=877500 elapsed=121.2s
  step 400: action=15 reward=97 samples=900000 elapsed=124.2s
  step 410: action=13 reward=97 samples=922500 elapsed=127.2s
  step 420: action=8 reward=97 samples=945000 elapsed=130.2s
  step 430: action=0 reward=97 samples=967500 elapsed=133.2s
  step 440: action=12 reward=97 samples=990000 elapsed=136.3s
  step 450: action=9 reward=97 samples=1012500 elapsed=139.3s
  step 460: action=6 reward=97 samples=1035000 elapsed=142.3s
  step 470: action=7 reward=97 samples=1057500 elapsed=145.4s
  step 480: action=10 reward=97 samples=1080000 elapsed=148.4s
  step 490: action=7 reward=97 samples=1102500 elapsed=151.4s
  step 500: action=8 reward=97 samples=1125000 elapsed=154.4s
  step 510: action=0 reward=97 samples=1147500 elapsed=157.4s
  step 520: action=3 reward=97 samples=1170000 elapsed=160.5s
  step 530: action=13 reward=97 samples=1192500 elapsed=163.6s
  step 540: action=11 reward=97 samples=1215000 elapsed=166.6s
  step 550: action=9 reward=97 samples=1237500 elapsed=169.5s
  step 560: action=4 reward=97 samples=1260000 elapsed=172.6s
  step 570: action=8 reward=97 samples=1282500 elapsed=175.7s
  step 580: action=8 reward=97 samples=1305000 elapsed=178.7s
  step 590: action=6 reward=97 samples=1327500 elapsed=181.7s
  step 600: action=1 reward=97 samples=1350000 elapsed=184.7s
  step 610: action=7 reward=97 samples=1372500 elapsed=187.7s
  step 620: action=4 reward=97 samples=1395000 elapsed=190.8s
  step 630: action=10 reward=97 samples=1417500 elapsed=193.9s
  step 640: action=7 reward=97 samples=1440000 elapsed=196.8s
  step 650: action=14 reward=97 samples=1462500 elapsed=199.8s
  step 660: action=0 reward=97 samples=1485000 elapsed=202.9s
  step 670: action=5 reward=97 samples=1507500 elapsed=205.9s
  step 680: action=9 reward=97 samples=1530000 elapsed=208.9s
  step 690: action=3 reward=97 samples=1552500 elapsed=211.9s
  step 700: action=5 reward=97 samples=1575000 elapsed=214.9s
  step 710: action=3 reward=97 samples=1597500 elapsed=217.9s
  step 720: action=13 reward=97 samples=1620000 elapsed=221.0s
  step 730: action=4 reward=97 samples=1642500 elapsed=224.0s
  step 740: action=2 reward=97 samples=1665000 elapsed=227.0s
  step 750: action=9 reward=97 samples=1687500 elapsed=230.1s
  step 760: action=8 reward=97 samples=1710000 elapsed=233.1s
  step 770: action=15 reward=97 samples=1732500 elapsed=236.2s
  step 780: action=12 reward=97 samples=1755000 elapsed=239.2s
  step 790: action=2 reward=97 samples=1777500 elapsed=242.3s
  step 800: action=4 reward=97 samples=1800000 elapsed=245.3s
  step 810: action=15 reward=97 samples=1822500 elapsed=248.3s
  step 820: action=8 reward=97 samples=1845000 elapsed=251.3s
  step 830: action=4 reward=97 samples=1867500 elapsed=254.4s
  step 840: action=5 reward=97 samples=1890000 elapsed=257.4s
  step 850: action=3 reward=97 samples=1912500 elapsed=260.5s
  step 860: action=14 reward=97 samples=1935000 elapsed=263.5s
  step 870: action=3 reward=97 samples=1957500 elapsed=266.5s
  step 880: action=17 reward=97 samples=1980000 elapsed=269.6s
  step 890: action=3 reward=97 samples=2002500 elapsed=272.6s
  step 900: action=1 reward=97 samples=2025000 elapsed=275.7s
  step 910: action=1 reward=97 samples=2047500 elapsed=278.9s
  step 920: action=8 reward=97 samples=2070000 elapsed=282.1s
  step 930: action=2 reward=97 samples=2092500 elapsed=285.1s
  step 940: action=10 reward=97 samples=2115000 elapsed=288.2s
  step 950: action=1 reward=97 samples=2137500 elapsed=291.3s
  step 960: action=15 reward=97 samples=2160000 elapsed=294.4s
  step 970: action=4 reward=97 samples=2182500 elapsed=297.5s
  step 980: action=6 reward=97 samples=2205000 elapsed=300.6s
  step 990: action=6 reward=97 samples=2227500 elapsed=303.7s
  step 1000: action=0 reward=97 samples=2250000 elapsed=306.7s
  step 1010: action=14 reward=97 samples=2272500 elapsed=309.9s
  step 1020: action=16 reward=97 samples=2295000 elapsed=313.0s
  step 1030: action=12 reward=97 samples=2317500 elapsed=316.1s
  step 1040: action=6 reward=97 samples=2340000 elapsed=319.3s
  step 1050: action=7 reward=97 samples=2362500 elapsed=322.3s
  step 1060: action=9 reward=97 samples=2385000 elapsed=325.5s
  step 1070: action=14 reward=97 samples=2407500 elapsed=328.7s
  step 1080: action=17 reward=97 samples=2430000 elapsed=331.8s
  step 1090: action=3 reward=97 samples=2452500 elapsed=334.8s
  step 1100: action=10 reward=97 samples=2475000 elapsed=337.8s
  step 1110: action=6 reward=97 samples=2497500 elapsed=341.0s
  step 1120: action=8 reward=97 samples=2520000 elapsed=344.2s
  step 1130: action=10 reward=97 samples=2542500 elapsed=347.3s
