layout,alpha,beta,episode,outcome,died,goal
gauntlet,0.0,0.0,0,lava,1,0
gauntlet,0.0,0.0,1,timeout,0,0
gauntlet,0.0,0.0,2,lava,1,0
gauntlet,0.0,0.0,3,lava,1,0
gauntlet,0.0,0.0,4,lava,1,0
gauntlet,0.0,0.0,5,lava,1,0
gauntlet,0.0,0.0,6,timeout,0,0
gauntlet,0.0,0.0,7,timeout,0,0
gauntlet,0.0,0.0,8,lava,1,0
gauntlet,0.0,0.0,9,lava,1,0
gauntlet,0.0,0.0,10,lava,1,0
gauntlet,0.0,0.0,11,lava,1,0
gauntlet,0.0,0.0,12,lava,1,0
gauntlet,0.0,0.0,13,lava,1,0
gauntlet,0.0,0.0,14,lava,1,0
gauntlet,0.0,0.0,15,lava,1,0
gauntlet,0.0,0.0,16,lava,1,0
gauntlet,0.0,0.0,17,lava,1,0
gauntlet,0.0,0.0,18,lava,1,0
gauntlet,0.0,0.0,19,timeout,0,0
gauntlet,0.0,0.0,20,lava,1,0
gauntlet,0.0,0.0,21,timeout,0,0
gauntlet,0.0,0.0,22,timeout,0,0
gauntlet,0.0,0.0,23,lava,1,0
gauntlet,0.0,0.0,24,timeout,0,0
gauntlet,0.0,0.0,25,lava,1,0
gauntlet,0.0,0.0,26,timeout,0,0
gauntlet,0.0,0.0,27,timeout,0,0
gauntlet,0.0,0.0,28,lava,1,0
gauntlet,0.0,0.0,29,timeout,0,0
gauntlet,0.0,0.0,30,lava,1,0
gauntlet,0.0,0.0,31,lava,1,0
gauntlet,0.0,0.0,32,lava,1,0
gauntlet,0.0,0.0,33,lava,1,0
gauntlet,0.0,0.0,34,timeout,0,0
gauntlet,0.0,0.0,35,lava,1,0
gauntlet,0.0,0.0,36,lava,1,0
gauntlet,0.0,0.0,37,lava,1,0
gauntlet,0.0,0.0,38,lava,1,0
gauntlet,0.0,0.0,39,lava,1,0
gauntlet,0.0,0.0,40,timeout,0,0
gauntlet,0.0,0.0,41,lava,1,0
gauntlet,0.0,0.0,42,timeout,0,0
gauntlet,0.0,0.0,43,lava,1,0
gauntlet,0.0,0.0,44,lava,1,0
gauntlet,0.0,0.0,45,lava,1,0
gauntlet,0.0,0.0,46,timeout,0,0
gauntlet,0.0,0.0,47,lava,1,0
gauntlet,0.0,0.0,48,lava,1,0
gauntlet,0.0,0.0,49,lava,1,0
gauntlet,0.0,0.0,50,timeout,0,0
gauntlet,0.0,0.0,51,lava,1,0
gauntlet,0.0,0.0,52,lava,1,0
gauntlet,0.0,0.0,53,lava,1,0
gauntlet,0.0,0.0,54,lava,1,0
gauntlet,0.0,0.0,55,lava,1,0
gauntlet,0.0,0.0,56,timeout,0,0
gauntlet,0.0,0.0,57,timeout,0,0
gauntlet,0.0,0.0,58,timeout,0,0
gauntlet,0.0,0.0,59,timeout,0,0
gauntlet,0.0,0.5,0,timeout,0,0
gauntlet,0.0,0.5,1,timeout,0,0
gauntlet,0.0,0.5,2,timeout,0,0
gauntlet,0.0,0.5,3,timeout,0,0
gauntlet,0.0,0.5,4,timeout,0,0
gauntlet,0.0,0.5,5,timeout,0,0
gauntlet,0.0,0.5,6,timeout,0,0
gauntlet,0.0,0.5,7,timeout,0,0
gauntlet,0.0,0.5,8,timeout,0,0
gauntlet,0.0,0.5,9,timeout,0,0
gauntlet,0.0,0.5,10,timeout,0,0
gauntlet,0.0,0.5,11,timeout,0,0
gauntlet,0.0,0.5,12,timeout,0,0
gauntlet,0.0,0.5,13,timeout,0,0
gauntlet,0.0,0.5,14,timeout,0,0
gauntlet,0.0,0.5,15,timeout,0,0
gauntlet,0.0,0.5,16,timeout,0,0
gauntlet,0.0,0.5,17,timeout,0,0
gauntlet,0.0,0.5,18,timeout,0,0
gauntlet,0.0,0.5,19,timeout,0,0
gauntlet,0.0,0.5,20,timeout,0,0
gauntlet,0.0,0.5,21,timeout,0,0
gauntlet,0.0,0.5,22,timeout,0,0
gauntlet,0.0,0.5,23,timeout,0,0
gauntlet,0.0,0.5,24,timeout,0,0
gauntlet,0.0,0.5,25,timeout,0,0
gauntlet,0.0,0.5,26,timeout,0,0
gauntlet,0.0,0.5,27,timeout,0,0
gauntlet,0.0,0.5,28,timeout,0,0
gauntlet,0.0,0.5,29,timeout,0,0
gauntlet,0.0,0.5,30,timeout,0,0
gauntlet,0.0,0.5,31,timeout,0,0
gauntlet,0.0,0.5,32,timeout,0,0
gauntlet,0.0,0.5,33,timeout,0,0
gauntlet,0.0,0.5,34,timeout,0,0
gauntlet,0.0,0.5,35,timeout,0,0
gauntlet,0.0,0.5,36,timeout,0,0
gauntlet,0.0,0.5,37,timeout,0,0
gauntlet,0.0,0.5,38,timeout,0,0
gauntlet,0.0,0.5,39,timeout,0,0
gauntlet,0.0,0.5,40,timeout,0,0
gauntlet,0.0,0.5,41,timeout,0,0
